epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,4558.48,1.3256,1.01769,1.71688,0.89018,0.87106,0.91869,0.43898,1.79385,0.87779,1.94989,0.0008516,0.0008516,0.0008516
60,4633.8,1.33275,1.02053,1.71107,0.90711,0.83941,0.92484,0.48815,1.73508,0.86666,1.89827,0.0008318,0.0008318,0.0008318
61,4710.65,1.33177,1.02526,1.70161,0.9012,0.88859,0.93951,0.4594,1.76172,0.86787,1.91064,0.000812,0.000812,0.000812
62,4786.07,1.32701,1.00271,1.7043,0.9095,0.86389,0.93549,0.46896,1.73402,0.83259,1.84246,0.0007922,0.0007922,0.0007922
63,4862.57,1.31358,1.0161,1.70414,0.91549,0.8691,0.9297,0.45711,1.76208,0.92357,1.86173,0.0007724,0.0007724,0.0007724
64,4939.79,1.29907,0.98825,1.67895,0.92031,0.86037,0.93018,0.48099,1.77926,0.83555,1.96821,0.0007526,0.0007526,0.0007526
65,5015.65,1.2747,0.95099,1.66241,0.94412,0.85673,0.93174,0.46585,1.75382,0.84303,1.88129,0.0007328,0.0007328,0.0007328
66,5091.11,1.30376,0.9946,1.69775,0.92292,0.85769,0.91791,0.47617,1.71433,0.84744,1.81019,0.000713,0.000713,0.000713
67,5169.3,1.26815,0.96335,1.68384,0.9073,0.86246,0.92419,0.50161,1.70875,0.816,1.90149,0.0006932,0.0006932,0.0006932
68,5245.88,1.29329,0.97115,1.68353,0.91535,0.87393,0.92835,0.44571,1.79339,0.8793,1.91152,0.0006734,0.0006734,0.0006734
69,5321.73,1.26741,0.9414,1.66912,0.93188,0.87393,0.92231,0.43824,1.78214,0.84291,1.86943,0.0006536,0.0006536,0.0006536
70,5399.8,1.29346,0.94452,1.67103,0.88748,0.88138,0.92489,0.45714,1.7912,0.81503,1.90722,0.0006338,0.0006338,0.0006338
71,5476.07,1.30881,0.95867,1.68214,0.89499,0.87106,0.92831,0.44337,1.82261,0.86226,1.90375,0.000614,0.000614,0.000614
72,5553.6,1.25665,0.94799,1.6595,0.9269,0.83954,0.92198,0.45313,1.78241,0.87107,1.86953,0.0005942,0.0005942,0.0005942
73,5630.93,1.27563,0.95556,1.66748,0.89264,0.85761,0.92321,0.45093,1.81856,0.84906,1.93637,0.0005744,0.0005744,0.0005744
74,5709.17,1.26999,0.92786,1.63775,0.91295,0.8596,0.92296,0.47774,1.74686,0.8281,1.88685,0.0005546,0.0005546,0.0005546
75,5785.55,1.23633,0.91467,1.63791,0.93638,0.86533,0.93132,0.50396,1.69533,0.82301,1.86353,0.0005348,0.0005348,0.0005348
76,5863.71,1.26354,0.93529,1.64696,0.91981,0.87679,0.93184,0.47643,1.72061,0.78873,1.84027,0.000515,0.000515,0.000515
77,5937.86,1.24575,0.90943,1.63414,0.91421,0.84814,0.92686,0.48907,1.69999,0.8116,1.86186,0.0004952,0.0004952,0.0004952
78,6012.44,1.24079,0.92051,1.65828,0.94813,0.87679,0.92902,0.45935,1.78047,0.80563,1.92516,0.0004754,0.0004754,0.0004754
79,6088.4,1.24033,0.91595,1.62442,0.94946,0.86819,0.93393,0.50578,1.6831,0.80074,1.84803,0.0004556,0.0004556,0.0004556
80,6165.45,1.27012,0.91834,1.63765,0.89976,0.87679,0.928,0.50392,1.7423,0.81666,1.92461,0.0004358,0.0004358,0.0004358
81,6240.28,1.21514,0.88202,1.62639,0.91509,0.88539,0.93318,0.45985,1.81174,0.81629,1.89746,0.000416,0.000416,0.000416
82,6317.1,1.24498,0.90095,1.60682,0.92429,0.8596,0.92264,0.46616,1.76268,0.81785,1.89386,0.0003962,0.0003962,0.0003962
83,6394.74,1.25561,0.88722,1.62919,0.90595,0.88323,0.93313,0.46498,1.75226,0.80104,1.87183,0.0003764,0.0003764,0.0003764
84,6469.33,1.20301,0.86973,1.61281,0.94166,0.87876,0.9432,0.49044,1.72835,0.79906,1.8459,0.0003566,0.0003566,0.0003566
85,6544.97,1.21162,0.87976,1.61621,0.91695,0.87106,0.92469,0.47717,1.71704,0.79207,1.86346,0.0003368,0.0003368,0.0003368
86,6621.26,1.22148,0.88653,1.60792,0.94176,0.88041,0.94005,0.46239,1.77668,0.78851,1.89726,0.000317,0.000317,0.000317
87,6695.57,1.20577,0.87627,1.61175,0.90609,0.88468,0.92904,0.50202,1.7042,0.76468,1.88615,0.0002972,0.0002972,0.0002972
88,6770.63,1.21621,0.8674,1.59,0.88922,0.89696,0.93877,0.48411,1.7598,0.78916,1.88722,0.0002774,0.0002774,0.0002774
89,6845.48,1.21925,0.88394,1.60592,0.93122,0.87393,0.92994,0.46648,1.76451,0.77376,1.87268,0.0002576,0.0002576,0.0002576
90,6921.22,1.17656,0.84874,1.5739,0.9276,0.88107,0.93793,0.49804,1.68615,0.76338,1.85224,0.0002378,0.0002378,0.0002378
91,6990.39,1.29124,0.66941,1.37949,0.94702,0.87071,0.93865,0.49847,1.6614,0.76359,1.79748,0.000218,0.000218,0.000218
92,7053.35,1.26565,0.62025,1.36718,0.93056,0.89398,0.94106,0.50959,1.67304,0.75226,1.81657,0.0001982,0.0001982,0.0001982
93,7117.96,1.26024,0.60709,1.33119,0.93771,0.86272,0.93232,0.50315,1.69424,0.7609,1.86,0.0001784,0.0001784,0.0001784
94,7181.42,1.26813,0.58887,1.35948,0.94445,0.87681,0.9418,0.49182,1.72139,0.73781,1.89064,0.0001586,0.0001586,0.0001586
95,7244.15,1.23881,0.5911,1.33421,0.94494,0.88519,0.93777,0.48858,1.7069,0.73846,1.86705,0.0001388,0.0001388,0.0001388
96,7306.41,1.24615,0.58073,1.32964,0.95081,0.88616,0.93869,0.50576,1.67102,0.72361,1.84707,0.000119,0.000119,0.000119
97,7370.7,1.21614,0.56985,1.32714,0.9533,0.89398,0.94033,0.51347,1.66194,0.71679,1.82211,9.92e-05,9.92e-05,9.92e-05
98,7432.68,1.20396,0.56442,1.31809,0.92715,0.91117,0.93957,0.49531,1.71327,0.75272,1.8967,7.94e-05,7.94e-05,7.94e-05
99,7495.1,1.27185,0.5858,1.31364,0.93258,0.89971,0.93913,0.49837,1.67388,0.73162,1.82235,5.96e-05,5.96e-05,5.96e-05
100,7556.11,1.21789,0.56796,1.31259,0.94209,0.88574,0.93909,0.49662,1.70865,0.72838,1.88158,3.98e-05,3.98e-05,3.98e-05
